timestamp,elapsed_s,cpu_percent,cpu_freq,cpu_memory,cpu_temp,gpu_percent,gpu_memory,gpu_temp,anomaly,score,inference_latency_ms,jitter_ms,drift_detected
1771406906.660,101.6,34.9,3100.0,62.6,74.0,100.0,26.806640625,76.0,1,0.158588,1.000,332.654,0
1771406907.330,102.3,26.1,3100.0,62.6,74.0,100.0,26.806640625,76.0,1,0.296645,1.000,16.666,0
1771406908.304,103.3,25.8,1500.0,62.6,74.0,100.0,26.806640625,76.0,-1,-0.473902,1.000,3.512,0
1771406909.374,104.3,13.5,3100.0,62.6,76.0,100.0,26.85546875,76.0,1,0.038629,1.000,16.505,0
1771406910.338,105.3,21.0,3100.0,62.6,76.0,100.0,26.85546875,77.0,-1,-0.396480,1.000,5.598,0
1771406911.544,106.5,35.8,3100.0,62.7,76.0,100.0,26.85546875,77.0,-1,-0.175877,1.000,247.602,0
1771406912.333,107.3,34.4,3100.0,62.6,76.0,100.0,26.85546875,77.0,1,0.340039,1.000,14.877,0
1771406913.364,108.3,24.3,3100.0,62.7,76.0,100.0,26.85546875,77.0,1,0.389195,1.000,17.561,0
1771406914.336,109.3,38.7,3100.0,62.7,77.0,100.0,26.85546875,77.0,-1,-0.068475,1.000,6.253,0
1771406915.378,110.3,18.0,3100.0,62.8,77.0,100.0,26.85546875,78.0,-1,-0.058784,1.000,18.604,0
1771406916.639,111.6,29.1,1500.0,62.8,77.0,100.0,26.85546875,78.0,-1,-0.357069,1.000,339.842,0
1771406917.359,112.3,26.3,3100.0,62.8,77.0,100.0,26.85546875,78.0,1,0.334923,1.000,10.744,0
1771406918.345,113.3,27.7,3100.0,62.8,77.0,100.0,26.85546875,78.0,1,0.115027,1.000,14.201,0
1771406919.346,114.3,31.0,3100.0,62.9,77.0,100.0,26.85546875,78.0,1,0.335439,1.000,17.872,0
1771406920.338,115.3,17.8,1500.0,62.9,78.0,100.0,26.85546875,78.0,1,0.017641,1.000,6.045,0
1771406921.341,116.3,21.2,3100.0,63.0,78.0,100.0,26.85546875,79.0,-1,-0.324202,1.000,13.068,0
1771406922.601,117.6,40.0,1500.0,63.0,78.0,100.0,26.8798828125,79.0,1,0.363673,1.000,274.864,0
1771406923.338,118.3,28.1,3100.0,63.1,78.0,100.0,26.8798828125,79.0,1,0.379250,1.000,4.107,0
1771406924.327,119.3,28.8,1500.0,63.0,78.0,100.0,26.8798828125,79.0,-1,-0.406452,1.000,9.917,0
1771406925.373,120.3,19.0,1500.0,63.1,79.0,100.0,26.8798828125,80.0,-1,-0.396192,1.000,17.433,0
1771406926.371,121.3,33.0,1500.0,63.1,79.0,100.0,26.8798828125,80.0,1,0.283280,1.000,4.958,0
1771406928.019,123.0,20.5,3100.0,63.2,79.0,100.0,26.8798828125,80.0,-1,-0.259774,1.000,684.076,0
1771406928.313,123.3,46.5,1500.0,63.2,79.0,100.0,26.8798828125,80.0,1,0.487545,1.000,7.223,0
1771406929.333,124.3,46.8,3100.0,63.4,79.0,100.0,26.8798828125,80.0,1,0.030430,1.000,1.623,0
1771406930.335,125.3,18.9,3100.0,63.5,79.0,100.0,26.8798828125,81.0,-1,-0.142522,1.000,14.405,0
1771406931.339,126.3,27.7,3100.0,63.5,80.0,100.0,26.8798828125,81.0,-1,-0.152243,1.000,7.897,0
1771406932.357,127.3,33.3,3100.0,63.5,80.0,100.0,26.8798828125,81.0,-1,-0.273253,1.000,10.204,0
1771406933.724,128.7,36.9,3100.0,63.5,80.0,100.0,26.8798828125,81.0,1,0.025421,1.000,394.338,0
1771406934.334,129.3,36.4,3100.0,63.6,80.0,100.0,26.8798828125,81.0,-1,-0.411560,1.000,3.883,0
1771406935.338,130.3,23.3,3100.0,63.5,80.0,100.0,26.8798828125,81.0,-1,-0.183687,1.000,6.301,0
1771406936.374,131.3,20.4,3100.0,63.4,80.0,100.0,26.8798828125,81.0,1,0.028471,1.000,9.739,0
1771406937.370,132.3,19.0,3100.0,63.4,81.0,100.0,26.8798828125,82.0,-1,-0.090920,1.000,11.275,0
1771406938.654,133.6,34.3,3100.0,63.6,81.0,100.0,26.8798828125,82.0,1,0.446775,1.000,324.746,0
1771406939.326,134.3,34.3,3100.0,63.7,81.0,100.0,26.8798828125,82.0,1,0.480154,1.000,10.108,0
1771406940.314,135.3,28.6,3100.0,63.7,81.0,100.0,26.8798828125,82.0,-1,-0.022664,1.000,14.166,0
1771406941.344,136.3,34.9,3100.0,63.6,82.0,100.0,26.8798828125,83.0,-1,-0.114766,1.000,14.139,0
1771406942.394,137.4,23.4,3100.0,63.6,82.0,100.0,26.8798828125,83.0,-1,-0.475571,1.000,12.630,0
